N,Iteration,Molecule,LowestRMSD
1,6,mol27,4.098898221717636
1,6,mol28,2.6362977367746376
1,6,mol29,0.9598393894760432
1,6,mol30,0.9392688172326606
1,6,mol31,6.188570090783217
1,6,mol32,1.2401948278607806
1,6,mol33,3.3634863420564085
1,6,mol34,1.003223712552974
1,6,mol35,4.855097033082362
1,6,mol36,6.835120607191737
1,6,mol37,2.6686381430110258
1,6,mol38,6.499353704023193
1,6,mol39,5.645687367160379
1,6,mol40,2.131666088365088
1,6,mol41,1.535435013449386
1,6,mol42,0.8198255716277315
1,6,mol43,2.1077815349714655
1,6,mol44,5.5337217032588155
1,6,mol45,5.608505536466148
1,6,mol46,5.759968169137194
1,6,mol47,5.954153274714035
1,6,mol48,1.7886227958164589
1,6,mol49,3.4761948971098144
1,6,mol50,3.111102745812166
1,6,mol51,2.9997473409875544
1,6,mol52,0.6859013901429273
1,6,mol53,4.1144163981663295
1,6,mol54,6.214656076566104
1,6,mol55,0.909581859815752
