mol_id,ligand,receptor,score
mol17,rec_16_mol17.sdf,rec_final_16-noH.pdb,15.9208
mol17,rec_12_mol17.sdf,rec_final_12-noH.pdb,15.3774
mol17,rec_1_mol17.sdf,rec_final_1-noH.pdb,15.3101
mol17,rec_3_mol17.sdf,rec_final_3-noH.pdb,15.1162
mol17,rec_15_mol17.sdf,rec_final_15-noH.pdb,15.0420
mol17,rec_5_mol17.sdf,rec_final_5-noH.pdb,14.5934
mol17,rec_10_mol17.sdf,rec_final_10-noH.pdb,14.1279
mol17,rec_4_mol17.sdf,rec_final_4-noH.pdb,12.6807
mol18,rec_16_mol18.sdf,rec_final_16-noH.pdb,25.6036
mol18,rec_20_mol18.sdf,rec_final_20-noH.pdb,25.0018
mol18,rec_8_mol18.sdf,rec_final_8-noH.pdb,24.6864
mol18,rec_2_mol18.sdf,rec_final_2-noH.pdb,24.5737
mol18,rec_17_mol18.sdf,rec_final_17-noH.pdb,24.3022
mol18,rec_14_mol18.sdf,rec_final_14-noH.pdb,24.1233
mol18,rec_9_mol18.sdf,rec_final_9-noH.pdb,24.1171
mol18,rec_13_mol18.sdf,rec_final_13-noH.pdb,23.1499
mol18,rec_15_mol18.sdf,rec_final_15-noH.pdb,22.8716
mol18,rec_6_mol18.sdf,rec_final_6-noH.pdb,22.7519
mol18,rec_7_mol18.sdf,rec_final_7-noH.pdb,22.0026
mol18,rec_19_mol18.sdf,rec_final_19-noH.pdb,21.5782
mol18,rec_11_mol18.sdf,rec_final_11-noH.pdb,20.7594
mol18,rec_12_mol18.sdf,rec_final_12-noH.pdb,18.9402
mol18,rec_18_mol18.sdf,rec_final_18-noH.pdb,18.9168
mol18,rec_4_mol18.sdf,rec_final_4-noH.pdb,18.4591
mol18,rec_3_mol18.sdf,rec_final_3-noH.pdb,17.9163
mol18,rec_5_mol18.sdf,rec_final_5-noH.pdb,17.8681
mol18,rec_10_mol18.sdf,rec_final_10-noH.pdb,17.8450
mol18,rec_1_mol18.sdf,rec_final_1-noH.pdb,17.4912
mol19,rec_6_mol19.sdf,rec_final_6-noH.pdb,18.9560
mol19,rec_3_mol19.sdf,rec_final_3-noH.pdb,18.5955
mol19,rec_20_mol19.sdf,rec_final_20-noH.pdb,18.2636
mol19,rec_8_mol19.sdf,rec_final_8-noH.pdb,18.0281
mol19,rec_2_mol19.sdf,rec_final_2-noH.pdb,17.8641
mol19,rec_11_mol19.sdf,rec_final_11-noH.pdb,17.7989
mol19,rec_9_mol19.sdf,rec_final_9-noH.pdb,17.6266
mol19,rec_13_mol19.sdf,rec_final_13-noH.pdb,17.6249
